country,food_category,consumption,co2_emmission
Chile,ÓãÈâ,7.65,12.21
Chile,¼¦µ°,9.97,9.16
Chile,Å£ÄÌ,116.11,165.39
Chile,Ğ¡Âó,104.74,19.97
Chile,´óÃ×,8.85,11.33
Chile,»Æ¶¹,0.04,0.02
Chile,¼á¹û,2.22,3.93
Venezuela,ÖíÈâ,7.23,25.59
Venezuela,¼ÒÇİ,39.28,42.19
Venezuela,Å£Èâ,25.89,798.91
Venezuela,ÑòÈâ,0.32,11.21
Venezuela,ÓãÈâ,8.34,13.32
Venezuela,¼¦µ°,5.63,5.17
Venezuela,Å£ÄÌ,117.79,167.78
Venezuela,Ğ¡Âó,49.17,9.38
Venezuela,´óÃ×,23.39,29.93
Venezuela,»Æ¶¹,0,0
Venezuela,¼á¹û,0.35,0.62
Belgium,ÖíÈâ,38.65,136.8
Belgium,¼ÒÇİ,12.2,13.11
Belgium,Å£Èâ,15.63,482.31
Belgium,ÑòÈâ,1.32,46.23
Belgium,ÓãÈâ,18.97,30.29
Belgium,¼¦µ°,12.59,11.57
Belgium,Å£ÄÌ,236.19,336.43
Belgium,Ğ¡Âó,111.91,21.34
Belgium,´óÃ×,8.61,11.02
Belgium,»Æ¶¹,0.07,0.03
Belgium,¼á¹û,7.32,12.96
Germany,ÖíÈâ,51.81,183.38
Germany,¼ÒÇİ,17.75,19.07
Germany,Å£Èâ,13.16,406.09
Germany,ÑòÈâ,0.73,25.56
Germany,ÓãÈâ,11.16,17.82
Germany,¼¦µ°,12.2,11.21
Germany,Å£ÄÌ,258.7,368.49
Germany,Ğ¡Âó,83.41,15.91
Germany,´óÃ×,3.34,4.27
Germany,»Æ¶¹,0.88,0.4
Germany,¼á¹û,7.96,14.09
Russia,ÖíÈâ,25.66,90.82
Russia,¼ÒÇİ,27.5,29.54
Russia,Å£Èâ,16.98,523.97
Russia,ÑòÈâ,1.4,49.03
Russia,ÓãÈâ,20.82,33.24
Russia,¼¦µ°,15.43,14.17
Russia,Å£ÄÌ,163.57,232.99
Russia,Ğ¡Âó,130.99,24.98
Russia,´óÃ×,4.71,6.03
Russia,»Æ¶¹,0.05,0.02
Russia,¼á¹û,1.62,2.87
Croatia,ÖíÈâ,42.79,151.46
Croatia,¼ÒÇİ,8.52,9.15
Croatia,Å£Èâ,12.41,382.95
Croatia,ÑòÈâ,1.71,59.88
Croatia,ÓãÈâ,15.83,25.28
Croatia,¼¦µ°,8.48,7.79
Croatia,Å£ÄÌ,231.02,329.06
Croatia,Ğ¡Âó,106.59,20.33
Croatia,´óÃ×,2.64,3.38
Croatia,»Æ¶¹,0,0
Croatia,¼á¹û,3.88,6.87
Belarus,ÖíÈâ,40.37,142.89
Belarus,¼ÒÇİ,31.29,33.61
Belarus,Å£Èâ,17.11,527.98
Belarus,ÑòÈâ,0.11,3.85
Belarus,ÓãÈâ,15.75,25.15
Belarus,¼¦µ°,15.86,14.57
Belarus,Å£ÄÌ,133.73,190.49
Belarus,Ğ¡Âó,60.48,11.53
Belarus,´óÃ×,3.17,4.06
Belarus,»Æ¶¹,0.3,0.14
Belarus,¼á¹û,3.36,5.95
Spain,ÖíÈâ,48.92,173.15
Spain,¼ÒÇİ,28.63,30.75
Spain,Å£Èâ,12.15,374.92
Spain,ÑòÈâ,2.16,75.64
Spain,ÓãÈâ,28.83,46.03
Spain,¼¦µ°,13.32,12.24
Spain,Å£ÄÌ,164.29,234.01
Spain,Ğ¡Âó,93.88,17.9
Spain,´óÃ×,8.32,10.65
Spain,»Æ¶¹,0.02,0.01
Spain,¼á¹û,7.44,13.17
Paraguay,ÖíÈâ,26.24,92.88
Paraguay,¼ÒÇİ,6.39,6.86
Paraguay,Å£Èâ,19.81,611.29
Paraguay,ÑòÈâ,0.56,19.61
Paraguay,ÓãÈâ,3.6,5.75
Paraguay,¼¦µ°,18.83,17.3
Paraguay,Å£ÄÌ,75.72,107.86
Paraguay,Ğ¡Âó,31.51,6.01
Paraguay,´óÃ×,4.91,6.28
Paraguay,»Æ¶¹,0,0
Paraguay,¼á¹û,1.6,2.83
New Caledonia,ÖíÈâ,19.9,70.44
New Caledonia,¼ÒÇİ,44.36,47.65
New Caledonia,Å£Èâ,16.07,495.89
New Caledonia,ÑòÈâ,1.95,68.29
New Caledonia,ÓãÈâ,19.38,30.94
New Caledonia,¼¦µ°,8.85,8.13
New Caledonia,Å£ÄÌ,108,153.84
New Caledonia,Ğ¡Âó,81.75,15.59
New Caledonia,´óÃ×,17.47,22.36
New Caledonia,»Æ¶¹,0.55,0.25
New Caledonia,¼á¹û,2.96,5.24
South Africa,ÖíÈâ,4.16,14.72
