Date,Open,High,Low,Close,Volume,Adj Close
2018/7/14,361.01,361.61,356.34,357.77,15376200,347.95
2018/7/15,361.17,365,359.17,364.92,17302400,354.9
2018/7/18,365.43,374.65,365.28,373.8,20451900,363.54
2018/7/19,378,378.65,373.32,376.85,29255200,366.51
2018/7/20,396.12,396.27,386,386.9,33619300,376.28
2018/7/21,386.95,390.06,383.9,387.29,18804800,376.66
2018/7/22,388.32,395.05,387.75,393.3,18454600,382.51
2018/7/25,390.35,400,389.62,398.5,21064500,387.56
2018/7/26,400,404.5,399.68,403.41,17020800,392.34
2018/7/27,400.59,402.64,392.15,392.59,23547300,381.81
2018/7/28,391.62,396.99,388.13,391.82,21215500,381.07
2018/7/29,387.64,395.15,384,390.48,22592300,379.76
2018/8/1,397.78,399.5,392.37,396.75,21887000,385.86
2018/8/2,397.65,397.9,388.35,388.91,22840700,378.24
2018/8/3,390.98,393.55,382.24,392.57,26161000,381.8
2018/8/4,389.41,391.32,377.35,377.37,31121700,367.01
2018/8/5,380.44,383.5,362.57,373.62,43021100,363.37
2018/8/8,361.69,367.77,353.02,353.21,40851200,343.52
2018/8/9,361.3,374.61,355,374.01,38663700,363.74
2018/8/10,371.15,374.65,362.5,363.69,31380600,353.71
2018/8/11,370.52,375.45,364.72,373.7,26498900,363.44
2018/8/12,378.07,379.64,374.23,376.99,18892000,366.64
2018/8/15,379.63,384.97,378.09,383.41,16448000,372.89
2018/8/16,381.52,383.37,376.06,380.48,17812500,370.04
2018/8/17,382.31,384.52,378,380.44,15787900,370
2018/8/18,370.84,372.65,361.37,366.05,30408400,356
2018/8/19,362.17,367,356,356.03,27710300,346.26
2018/8/22,364.51,364.88,355.09,356.44,19118400,346.66
2018/8/23,360.3,373.64,357,373.6,23458400,363.35
2018/8/24,373.47,378.96,370.6,376.18,22366700,365.85
2018/8/25,365.08,375.45,365,373.72,31119500,363.46
2018/8/26,371.17,383.8,370.8,383.58,22909900,373.05
2018/8/29,388.18,391.5,388,389.97,14473900,379.27
2018/8/30,388.25,391.84,386.21,389.99,14925800,379.29
2018/8/31,390.57,392.08,381.86,384.83,18663800,374.27
2018/9/1,385.82,387.34,380.72,381.03,12275900,370.57
2018/9/2,374.74,378,371.83,374.05,15676400,363.78
2018/9/6,367.37,380.33,366.48,379.74,18203500,369.32
2018/9/7,385.56,385.6,382,383.93,12520600,373.39
2018/9/8,382.4,388.61,382.31,384.14,14862800,373.6
2018/9/9,383.93,386,375.02,377.48,20171900,367.12
2018/9/12,373,380.88,371.9,379.94,16708300,369.51
2018/9/13,382.14,386.21,380.25,384.62,15734300,374.06
2018/9/14,387.02,392.21,385.76,389.3,19097300,378.61
2018/9/15,391.43,393.66,389.9,392.96,14922100,382.17
2018/9/16,395.54,400.5,395.03,400.5,24946900,389.51
2018/9/19,397,413.23,395.2,411.63,29423600,400.33
2018/9/20,415.25,422.86,411.19,413.45,27705500,402.1
2018/9/21,419.64,421.59,412,412.14,21642000,400.83
